             t   Imag  Ierr
-------------- ------ -----
    43.7421368 14.283 0.006
    86.0683436 14.398 0.006
    76.7004319 14.495 0.006
    88.9876336 14.469 0.006
    68.4244602  14.44 0.006
    18.7142717  14.05 0.006
    61.0434385 14.088 0.006
    84.6865819 14.285 0.006
    92.6558919 14.038 0.006
      22.34686 14.283 0.006
    44.9718634 14.439 0.006
    77.9775485 14.576 0.006
    85.0300585 14.304 0.006
      34.36593 14.407 0.006
    66.3754551 14.513 0.006
    83.6760768 14.138 0.006
    33.0101483 14.286 0.006
    34.0291683 14.361 0.006
    34.9999683 14.458 0.006
    88.6336368  14.54 0.006
      48.32167 14.238 0.006
    69.9938434 14.009 0.006
    70.9068934 14.091 0.006
    71.5882117 14.066 0.006
    51.9215283 14.025 0.006
    83.8784134 14.208 0.006
    33.3716949 14.319 0.006
      65.34039 14.392 0.006
    14.5389415 14.481 0.006
    63.8391883 14.298 0.006
    85.5216417 14.358 0.006
    86.5324517 14.438 0.006
    15.1823298 14.544 0.006
    47.1548049  14.54 0.006
    91.4837417 14.073 0.006
    52.1477449 14.049 0.006
    52.2422149 14.055 0.006
     1.5102764 14.271 0.006
    23.1749598 14.328 0.006
       89.1769 14.409 0.006
    79.8575283 14.057 0.006
     8.5388764 14.083 0.006
    40.5805115 14.068 0.006
    51.8966632 14.014 0.006
    35.1364498 14.496 0.006
    51.5302015 14.016 0.006
    53.5233015 14.285 0.006
      2.799653 14.349 0.006
    24.4182364 14.457 0.006
    58.4786715 14.314 0.006
     2.4992513 14.328 0.006
     14.796403 14.511 0.006
    77.7918432 14.575 0.006
    38.4259464 14.097 0.006
    60.1330298  14.07 0.006
     19.743423 14.095 0.006
    41.3684264 14.005 0.006
    42.3650764 14.161 0.006
    53.7050781 14.322 0.006
    54.6792981 14.398 0.006
    14.3750313 14.478 0.006
     25.912403 14.582 0.006
    47.5193664   14.5 0.006
    69.2180998 14.182 0.006
    70.0417798 14.027 0.006
    22.3764013 14.269 0.006
     33.714343 14.344 0.006
    76.0439998 14.433 0.006
    55.5802864 14.456 0.006
    15.0403896 14.563 0.006
    25.5042213 14.567 0.006
    25.5826413 14.579 0.006
    26.3929513 14.563 0.006
     5.8699979 14.545 0.006
    27.4709913 14.329 0.006
    69.6907581  14.03 0.006
    81.0612698   14.1 0.006
    70.7942181  14.08 0.006
     40.701273 14.071 0.006
     40.854933  14.05 0.006
    22.0189696 14.239 0.006
     2.4480662 14.322 0.006
    24.0914596 14.401 0.006
     45.686723 14.518 0.006
     45.934583 14.524 0.006
    67.3764964 14.575 0.006
    89.1135598 14.445 0.006
    38.3984213  14.11 0.006
     8.4785762 14.052 0.006
     50.729933  14.09 0.006
     0.0350645 14.011 0.006
    20.7937979 14.018 0.006
    41.5271813 14.018 0.006
     52.762443 14.167 0.006
    43.4172013 14.297 0.006
    43.5227413 14.301 0.006
    75.4060164 14.376 0.006
    34.2449596 14.392 0.006
     55.736473 14.484 0.006
     56.716193 14.563 0.006
    16.4214262 14.518 0.006
    69.0602647 14.229 0.006
     8.0633945 14.019 0.006
    50.4781813 14.105 0.006
    51.4098113 14.015 0.006
    32.6925979 14.272 0.006
     68.705173 14.335 0.006
    59.4211713 14.034 0.006
    91.4924364 14.088 0.006
     9.7411028 14.057 0.006
     73.740593 14.235 0.006
    55.0538896 14.397 0.006
    89.0607447  14.46 0.006
    38.4035162 14.089 0.006
    70.0981796 14.031 0.006
     92.806493 14.005 0.006
     0.8030577 14.082 0.006
    54.3909962 14.326 0.006
    86.4691213 14.444 0.006
    25.4156111 14.548 0.006
    87.4800513 14.554 0.006
     5.8216077 14.564 0.006
    70.7832679 14.075 0.006
    92.4170513 14.056 0.006
    41.7295528  14.02 0.006
    43.7559628 14.291 0.006
    65.4433162 14.394 0.006
    76.7911079 14.516 0.006
    47.7236528  14.45 0.006
      8.362366 14.065 0.006
    31.0450394 13.979 0.006
     5.0498943 14.568 0.006
    51.3517511 14.048 0.006
    56.3584411 14.557 0.006
    36.6790777  14.58 0.006
    39.6787477 14.076 0.006
    82.0454745 14.058 0.006
    67.3655611 14.559 0.006
     4.9989392 14.576 0.006
    70.7124258 14.083 0.006
    43.0107273 14.274 0.006
    44.0229973 14.329 0.006
    37.7032856 14.347 0.006
    53.0030873  14.23 0.006
    75.6775307 14.399 0.006
     70.275069  14.05 0.006
    51.6333156 13.988 0.006
    44.3328639 14.366 0.006
     4.6277254 14.533 0.006
    81.9425773 14.062 0.006
    71.2502739 14.083 0.006
    52.6102905 14.104 0.006
    22.7085354 14.288 0.006
    56.6797505 14.542 0.006
    50.2472688 14.086 0.006
    74.9348922 14.329 0.006
    26.2772337 14.581 0.006
    80.8149822 14.059 0.006
     1.2979686  14.23 0.006
    84.9456622 14.296 0.006
    48.5544154 14.168 0.006
    73.2134388 14.095 0.006
     3.9062469 14.457 0.006
     7.9233369 14.015 0.006
    72.8467371  14.05 0.006
    64.4591654 14.311 0.006
    26.2170886 14.518 0.006
    39.4011903  14.03 0.006
    43.4843303 14.315 0.006
    35.1507786 14.476 0.006
    68.1477337  14.48 0.006
     65.782742 14.444 0.006
     8.7494718 14.087 0.006
    24.1892435  14.41 0.006
    60.0654586 14.048 0.006
    65.0770286 14.367 0.006
    60.6920169 14.095 0.006
    44.0551735 14.349 0.006
    26.4566701 14.554 0.006
    60.4102552 14.074 0.006
    41.7754418 14.042 0.006
    76.7792369 14.528 0.006
    63.0465335 14.147 0.006
     14.398055 14.471 0.006
     17.438495 14.221 0.006
     20.435315 14.002 0.006
    75.1852435 14.351 0.006
    67.8186918 14.549 0.006
    61.4140401 14.052 0.006
    76.8087618  14.52 0.006
    80.8064618 14.035 0.006
    84.8153118 14.291 0.006
    25.8075516 14.572 0.006
    70.0304984 14.017 0.006
     0.7399065 14.081 0.006
    41.6872816 14.025 0.006
     4.3564948 14.506 0.006
     72.349615 13.996 0.006
    45.3527199 14.477 0.006
     80.351855 14.023 0.006
    56.3467099 14.543 0.006
    10.6662714  14.03 0.006
    13.9253361 14.418 0.006
    35.7026695  14.54 0.006
    40.6478795 14.059 0.006
    25.0565361 14.502 0.006
    83.7058546 14.127 0.006
      8.065911 14.015 0.006
    29.3604427 14.075 0.006
