         t   Imag  Ierr
---------- ------ -----
  49.98914 11.332 0.005
  51.05305 11.348 0.004
  52.03552 11.394 0.006
  69.05807 11.229 0.003
  73.05273 11.167 0.006
 2.3580345 11.147 0.004
22.2977445 11.269 0.003
27.2881145 11.235 0.005
47.2076045 11.331 0.003
49.1901745 11.294 0.005
68.1479145 11.255 0.004
 10.647699  11.26 0.004
 58.488269 11.511 0.051
11.8658935 11.298  0.04
13.8623735 11.194 0.011
39.9400525 11.237 0.011
57.8268525 11.427 0.004
62.9587325 11.391 0.005
 31.141967 11.318 0.004
 48.142257 11.419  0.06
 7.4276515 11.221 0.046
33.3610415 11.322 0.007
45.3676915  11.29 0.008
50.3521915 11.293 0.008
71.3568915 11.098 0.012
  3.715746 11.192 0.008
 10.752716 11.297 0.008
 13.711506 11.305 0.016
 14.738646 11.314 0.003
 25.735546 11.125 0.024
 29.714516 11.259 0.005
 29.773785 11.259 0.004
 35.830935 11.305 0.005
 44.875755 11.319 0.004
 51.773635 11.367 0.004
 59.831935 11.481 0.024
62.9769795 11.408 0.008
 67.268184 11.265 0.021
 0.6140285 11.212 0.009
 5.6981285 11.097 0.087
14.7647875 11.243 0.005
27.7048075 11.333 0.004
37.6705875 11.269 0.003
42.7011675 11.276 0.008
48.6322175 11.327 0.003
59.6070475 11.389 0.006
69.6072375 11.152 0.007
71.6435075 11.148 0.007
73.5709675 11.093 0.006
  1.082962   11.1 0.004
  2.061532  11.11 0.005
  4.002052 11.148 0.003
  8.974312 11.215 0.059
 16.899002 11.216 0.006
 27.893852 11.263 0.003
 28.896732 11.216 0.004
 30.855062 11.225 0.003
 32.849912  11.22 0.004
 36.914582 11.154 0.062
 44.840992 11.265 0.006
 48.794022 11.344 0.003
 50.829522 11.383 0.004
 55.785342 11.384 0.006
 57.787622 11.341 0.008
 62.864672 11.263 0.082
 64.776932 11.327 0.004
 7.1611665 11.095  0.01
64.1262765  11.32 0.007
  8.548091 11.232 0.005
  34.55489 11.234 0.006
  36.60061 11.216 0.005
  40.61274 11.291 0.007
  48.61058 11.388 0.137
  63.62708 11.343 0.005
19.7542045 11.278 0.008
21.7515145 11.233 0.003
30.8299345 11.183 0.005
35.8000745 11.226 0.005
48.7737445 11.288 0.007
50.7224445 11.301 0.006
59.6775645  11.44 0.004
71.6929845 11.099 0.007
  6.034119 11.015 0.013
 14.107989 11.244 0.005
 20.104579 11.114 0.081
 24.100869 11.182 0.007
 54.051559 11.386 0.003
 58.048749 11.427 0.012
 63.049489 11.275 0.008
 4.4146335 11.213 0.005
14.4466435  11.11 0.067
33.4971925 11.205 0.005
45.4489825 11.255 0.011
52.4045125 11.387 0.003
54.3939325 11.375 0.007
56.3881025 11.414 0.004
68.3432725 11.203 0.006
  3.734237 11.126 0.007
 12.736807 11.228 0.003
 19.679607 11.264 0.003
 35.630847 11.215 0.005
 41.627507 11.269 0.003
 44.613377 11.288 0.007
 50.584147 11.308 0.015
 54.665467 11.357 0.007
 59.560657 11.391 0.004
 61.540917 11.302 0.011
 2.9058815 11.178 0.006
 4.9812415 11.098 0.004
14.9676115 11.117 0.069
18.9312915 11.101 0.052
26.9293215 11.217 0.005
33.0079815  11.21 0.005
39.9634515  11.22 0.092
45.0059815 11.303 0.004
47.9974415 11.294 0.014
52.9614515 11.287 0.021
62.9173415 11.392 0.004
67.9482715 11.219 0.008
71.9653115 11.215 0.008
 57.402435 11.412 0.003
 61.395645  11.37 0.005
12.6226795 11.229 0.006
15.5703095 11.255 0.004
18.5879895 11.258 0.004
29.5743795 11.294 0.006
32.5723095 11.205 0.007
57.5694395 11.382 0.005
60.5572995 11.366 0.006
 21.838554 11.244 0.025
 23.863314 11.223 0.004
 29.895784 11.231 0.005
 38.838064 11.325 0.006
 41.869504 11.417 0.012
 61.870334 11.411  0.01
 64.880194 11.475  0.02
35.3439975 11.306 0.003
52.3314575 11.403 0.003
55.3282175 11.417 0.003
64.2154275 11.278 0.006
69.1922075 11.146 0.005
  0.551592 11.145 0.004
  4.592152 11.168 0.008
  6.585032 11.179 0.005
 25.470782 11.312 0.004
 38.481012 11.299 0.003
 48.457852  11.34 0.004
 52.398732 11.396 0.006
 55.467332 11.457 0.007
 59.359612 11.263 0.009
 65.321832 11.354 0.019
 72.372462 11.166 0.069
 8.7246565 11.209 0.031
 9.7879765 11.196 0.008
18.7062465 11.257 0.003
18.7799065 11.197 0.006
23.7980365 11.307 0.008
31.7091665 11.254 0.057
46.7730165 11.415 0.011
48.7839465 11.427 0.007
54.7545365 11.383 0.008
57.7636465 11.468 0.011
60.7114165  11.36 0.009
61.8177965 11.353 0.009
65.7786465 11.356 0.009
