              t   Imag  Ierr
--------------- ------ -----
     82.4979798 13.241 0.006
     48.3628899 13.482 0.006
        9.05657 13.467 0.006
     57.3629399 13.315 0.006
     47.8719266 13.488 0.006
     83.7158732 13.283 0.006
       37.11523 13.396 0.006
     66.7981366 13.142 0.006
      1.8730201 13.227 0.006
       44.07898 13.296 0.006
     86.2474299 13.414 0.006
      7.8155401  13.48 0.006
     11.7348801 13.296 0.006
     40.5958867 13.155 0.006
     69.4877033 13.255 0.006
     72.3673533  13.39 0.006
     77.4772233 13.387 0.006
       65.98547  13.21 0.006
     82.4722233 13.247 0.006
     18.4955368 13.371 0.006
     34.9029701 13.491 0.006
       77.12072 13.416 0.006
       80.09532 13.154 0.006
     43.8452601 13.306 0.006
      6.6254602 13.454 0.006
     48.7939901 13.475 0.006
     37.4141668 13.377 0.006
       93.13378 13.162 0.006
     41.3563768 13.197 0.006
     56.9177501 13.286 0.006
      9.2995369 13.439 0.006
     35.6519202 13.484 0.006
     24.2512069  13.38 0.006
      1.3408409 13.215 0.006
     19.7082842  13.44 0.006
     63.9732141 13.398 0.006
     41.1757775 13.184 0.006
     18.8558476 13.401 0.006
     92.8921341 13.205 0.006
     17.4608543 13.321 0.006
     91.4438808 13.373 0.006
     76.5705842 13.443 0.006
     18.5409577 13.389 0.006
     21.6560477  13.51 0.006
      4.8767111 13.382 0.006
     75.8268576 13.476 0.006
     40.7192477 13.179 0.006
     29.3198044 13.269 0.006
     44.7185277 13.356 0.006
      64.072891 13.405 0.006
     52.6997377 13.204 0.006
     30.9107411  13.33 0.006
     86.4654543 13.436 0.006
      8.0387345 13.508 0.006
     58.1062744 13.354 0.006
     46.9084411 13.474 0.006
      89.085791 13.489 0.006
      91.127541 13.389 0.006
     12.6356812 13.184 0.006
     16.5131112 13.295 0.006
     44.9865279 13.358 0.006
     73.7972982  13.47 0.006
      3.3876784 13.287 0.006
     11.3683584 13.333 0.006
     15.3849384 13.241 0.006
     26.3056184 13.163 0.006
     16.9287651 13.305 0.006
     88.9371016 13.478 0.006
      72.048125 13.372 0.006
      76.126255 13.455 0.006
     31.5410718 13.353 0.006
      7.7457652 13.483 0.006
     58.8983351 13.382 0.006
     20.7416352 13.487 0.006
     14.3238719 13.193 0.006
     82.2214184 13.244 0.006
     30.7005652 13.298 0.006
      5.8613686 13.413 0.006
     35.6646652 13.467 0.006
     66.3858218  13.18 0.006
     69.3737518 13.262 0.006
      4.4678753 13.343 0.006
     86.9171051 13.453 0.006
     76.4197618 13.442 0.006
     26.8082886 13.159 0.006
     69.0818285 13.256 0.006
     30.8951486 13.341 0.006
     87.4655018 13.493 0.006
     76.0782585 13.467 0.006
     78.0893885 13.355 0.006
     26.4795553 13.163 0.006
     68.7054152 13.233 0.006
     57.2919319 13.323 0.006
     32.4544653 13.412 0.006
     61.3252219 13.505 0.006
     77.6510052 13.387 0.006
      0.2750954 13.148 0.006
     84.5156352 13.342 0.006
     46.3478253  13.45 0.006
     87.6559252 13.489 0.006
     22.6588787 13.473 0.006
     16.1109654  13.28 0.006
     31.5590887 13.408 0.006
      46.989192 13.476 0.006
     25.2239854 13.296 0.006
     12.8393421 13.187 0.006
     81.7783186 13.228 0.006
     83.7644486  13.31 0.006
     32.1974954  13.43 0.006
     38.8109192 13.253 0.006
      5.5883593 13.405 0.006
     54.3602859  13.17 0.006
      8.7168327 13.477 0.006
     51.5260693 13.338 0.006
     80.3174259 13.159 0.006
     58.4041093 13.354 0.006
     21.2876694 13.491 0.006
      50.112566 13.414 0.006
      52.148906 13.278 0.006
     31.2848294 13.349 0.006
     37.2491894 13.397 0.006
     80.4987293 13.141 0.006
     31.7527861 13.382 0.006
     11.0962095 13.362 0.006
     15.9799995 13.282 0.006
     15.6720562 13.274 0.006
     73.2998094 13.467 0.006
     89.6794527  13.45 0.006
     22.3309029 13.482 0.006
     54.0866595 13.174 0.006
      7.2764563 13.482 0.006
     16.3755063 13.285 0.006
     78.0339495  13.38 0.006
     26.3654663 13.161 0.006
      44.884843 13.367 0.006
       78.18663  13.35 0.006
     69.3642534 13.263 0.006
     32.1879835 13.401 0.006
     38.1350735  13.34 0.006
     58.4861868 13.363 0.006
     48.1303235 13.488 0.006
      5.5626103 13.412 0.006
     63.0799835 13.432 0.006
     53.6632902 13.144 0.006
     30.8271536 13.321 0.006
      10.122207 13.413 0.006
     89.0673935 13.478 0.006
     79.7266502 13.189 0.006
     15.6453537 13.272 0.006
     44.5199903 13.344 0.006
     60.9263336 13.468 0.006
      37.063917 13.412 0.006
      40.076787 13.152 0.006
     68.9318436 13.241 0.006
     30.7285437 13.325 0.006
      6.8037271 13.475 0.006
     65.4393703 13.275 0.006
     13.9272371 13.162 0.006
     15.9035571 13.269 0.006
     18.9346871 13.401 0.006
      65.078107 13.323 0.006
      2.1122305 13.251 0.006
     45.3194904 13.372 0.006
     60.6188837 13.475 0.006
     22.3999538 13.461 0.006
     38.8323571 13.254 0.006
     54.2973004 13.174 0.006
     56.3167404 13.273 0.006
     74.7372337 13.481 0.006
     63.2844904 13.419 0.006
     65.2983404 13.284 0.006
      0.2482739  13.15 0.006
     55.8765771 13.252 0.006
     44.4965038  13.33 0.006
     33.9081005 13.469 0.006
     23.6287872 13.394 0.006
     53.4454238 13.151 0.006
      4.7547106 13.352 0.006
     21.1462539 13.479 0.006
     10.7045606 13.367 0.006
      0.3686373 13.146 0.006
     17.6166406 13.326 0.006
      8.2949973 13.476 0.006
     27.6645706 13.187 0.006
       8.805354 13.457 0.006
     85.8183205 13.395 0.006
     63.5716406 13.404 0.006
     72.3738209 13.383 0.006
      38.199621 13.331 0.006
     59.5152643 13.414 0.006
     14.9657811 13.215 0.006
     89.9128476 13.433 0.006
     45.3820244 13.384 0.006
     89.4579043 13.454 0.006
     52.3071644 13.251 0.006
     14.1280545 13.176 0.006
     45.9399911 13.406 0.006
     25.1445445 13.293 0.006
     56.9341511 13.296 0.006
     73.2387444 13.442 0.006
      8.3492079 13.479 0.006
     68.8278611 13.235 0.006
     45.0159345 13.364 0.006
     73.8897411 13.462 0.006
     93.1544744  13.18 0.006
      2.3299913 13.254 0.006
     17.9192946 13.336 0.006
     86.9062911  13.45 0.006
     36.2312179 13.434 0.006
     79.3707278 13.215 0.006
     84.4547678 13.317 0.006
     20.4250513 13.455 0.006
       9.069428 13.453 0.006
     80.1256745 13.157 0.006
     43.8435046 13.311 0.006
     86.0549745 13.398 0.006
     48.9295446 13.471 0.006
     50.9043246 13.373 0.006
     21.5375647 13.477 0.006
     28.6967547 13.241 0.006
     31.5281547 13.366 0.006
     10.9049281 13.373 0.006
     47.6330947 13.473 0.006
     40.1026814 13.158 0.006
      3.5426082 13.313 0.006
     56.6129081 13.285 0.006
     81.0422814 13.211 0.006
     68.7445852 13.226 0.006
      19.174662 13.407 0.006
     11.7029787 13.299 0.006
     42.5646453 13.264 0.006
      34.179992 13.482 0.006
     78.3023719 13.337 0.006
      1.9128921 13.246 0.006
     62.4669153 13.461 0.006
      52.083772 13.277 0.006
      61.163352 13.488 0.006
     53.6640287 13.148 0.006
      71.071992 13.328 0.006
      79.083682 13.257 0.006
     80.7113387  13.16 0.006
      4.2775389 13.346 0.006
     47.4808988 13.484 0.006
     50.4983388   13.4 0.006
     41.0247955 13.182 0.006
      3.8444956 13.321 0.006
     47.9895755 13.498 0.006
     53.1041155 13.168 0.006
     28.3396189 13.226 0.006
      4.4792823  13.35 0.006
     60.0817955 13.462 0.006
     35.2884089 13.496 0.006
0.0717289999995 13.149 0.006
     55.6886322 13.262 0.006
     20.4085223  13.47 0.006
     41.8930456 13.239 0.006
     71.7352522 13.372 0.006
     49.9329656 13.436 0.006
      26.950979 13.153 0.006
      30.021649 13.297 0.006
      34.073509 13.492 0.006
     23.5464757 13.408 0.006
     52.4563923 13.233 0.006
     57.4475023 13.316 0.006
     19.2110924 13.406 0.006
     68.4108423 13.219 0.006
      58.811109 13.389 0.006
     20.7514391 13.485 0.006
     13.3758158  13.15 0.006
     57.5425557 13.328 0.006
     21.3577658 13.494 0.006
      76.957969 13.413 0.006
     38.6750091 13.289 0.006
