         t   Imag  Ierr
---------- ------ -----
 7.9990752 12.093 0.003
23.9979118 11.892 0.009
43.1042384 11.835 0.003
 9.1693986 12.161 0.003
21.0824754 12.089 0.004
57.0424486 11.881 0.004
70.9392452 11.925 0.007
44.0505388  11.87 0.004
 7.7687998 12.118 0.009
  59.80796  12.06 0.044
61.3721918 12.102 0.009
 6.5014156 11.963 0.006
 71.002733 11.954 0.007
54.0168198 11.624 0.024
70.9110864 11.931 0.013
  23.02902 12.141 0.004
62.9886398 11.865 0.007
56.9735132 11.814 0.018
 7.1342868 11.875 0.093
49.9618266 11.875 0.017
70.0357032 11.792 0.024
72.0093032 11.985 0.003
35.1094134 12.122 0.006
  50.05009 11.869 0.026
 7.2383836 11.966  0.01
10.2367936 12.066 0.037
11.1481236 11.817 0.084
  71.06665 11.876 0.006
48.2000168 12.062 0.104
62.1643934 12.087 0.011
 4.1223004 11.833 0.028
 7.1238804 11.916 0.015
48.0247302 12.101 0.011
49.0865302 12.096 0.007
11.2352104 11.805 0.014
 3.0973338 11.705 0.008
59.1548102 11.976 0.006
21.2266304  12.07 0.005
 9.2546838 12.192 0.004
69.9218602 11.812 0.019
32.2335204 11.838 0.047
20.2395938 11.906 0.055
33.9968004 12.039 0.012
10.1277972 12.124 0.004
11.2007772 11.881  0.02
64.2070536 11.601 0.006
 52.261257 11.565 0.007
16.2151072 11.746 0.004
 5.3623406 11.844 0.012
33.2600538 12.003 0.003
46.9532304 12.062 0.004
35.2171338 12.118 0.004
10.2740606 12.031 0.029
13.3020806 11.565 0.004
40.9919938 11.767 0.052
49.0494938 12.119 0.005
 10.970224 11.965 0.004
24.2860906 11.785 0.021
25.2946106 11.604 0.017
 13.048124 11.563 0.004
27.2738406 11.583 0.007
 18.038774  11.84 0.007
44.0055372 11.842 0.006
 6.3047974 11.938 0.005
46.2395272 11.983 0.011
60.2150838 12.097 0.004
 34.227044 12.082 0.004
 46.174314 11.991 0.008
70.0129706 11.895 0.004
 64.011574 11.563 0.066
 66.131574 11.593 0.009
58.1353674 12.001 0.004
  9.174871 12.071 0.015
 0.1323844  11.53 0.025
30.1442876  11.83 0.015
 6.2516444 11.957 0.004
64.0562108 11.669 0.004
 3.1408678 11.704 0.013
45.0653076 11.911 0.005
 9.1482578  12.14 0.005
28.1769844 11.706 0.005
33.1718144 12.033 0.004
 9.1698712 12.192 0.005
15.7633718  11.79 0.015
36.7613084 11.892 0.007
 58.747155 11.996 0.004
44.7031518 11.885 0.005
 72.670975 12.039 0.013
 75.714255 11.915 0.024
53.8089318  11.61 0.018
 2.8984254 11.759 0.034
42.8400586 11.766  0.02
18.8184154 11.871 0.006
20.9151954 12.029  0.01
23.8419454 11.966 0.028
 38.797422 11.529 0.072
54.7183586 11.696  0.03
18.9875422 11.925 0.004
26.9817822 11.575 0.004
  5.038169 11.794 0.012
51.7167788 11.561 0.003
52.9583888 11.564 0.007
41.9153122 11.633 0.014
57.9350988 11.891 0.005
35.9936456 12.143  0.01
18.0121124  11.82 0.006
11.0051358 11.907 0.014
 1.0486092 11.597 0.006
 4.0316092 11.799 0.005
 43.962969 11.864 0.004
70.9085922 11.935 0.004
 7.0005192 11.985 0.004
21.0232958 12.104 0.004
 9.9570392 12.149 0.004
63.8307056 11.659 0.005
 2.8891426 11.763 0.032
29.9075158  11.83 0.004
53.9123624 11.721 0.007
41.8729058 11.669  0.04
32.8871492 11.963 0.005
  9.002056 12.159 0.007
48.8610858 12.129 0.006
23.9286326  11.94 0.005
50.8829558 11.663 0.005
38.9162592 11.555 0.018
 58.816616 11.984 0.008
36.8503428 11.905 0.007
 14.923723 11.699 0.006
 11.461547 11.622 0.017
