              t   Imag  Ierr
--------------- ------ -----
      70.777848 18.864 0.093
     36.7097328 18.987 0.062
     58.7297504 18.363 0.038
      4.6401676 18.612 0.041
      9.5981776 18.934  0.07
     51.6342528 18.973 0.075
       10.39591   18.9 0.084
     37.5390676 18.831 0.074
     63.5867052 18.886  0.13
     18.2969524 18.982 0.092
        56.3686 19.377 0.207
     10.0275416 19.139 0.089
       5.998174 18.888 0.054
     56.0733192 19.057 0.071
      25.021954 18.822 0.071
     50.9597616 19.009  0.07
      42.008134 18.674 0.058
      7.7999288 18.929 0.074
     11.7430588 19.033 0.083
     37.7808364 18.465 0.039
     41.8055964 18.636 0.052
      5.7101712 18.923 0.055
     45.8301064 19.002 0.065
      73.882744 19.035 0.072
     37.7056488 18.445 0.044
      7.6458736 18.922 0.094
     68.7753764 19.233 0.084
     72.8185364 19.257 0.146
     74.6863564 19.057 0.066
       0.429056 18.672 0.045
     40.5588212 18.626 0.048
       4.511586 18.698 0.048
       7.414406 19.038  0.07
       9.295496 19.003 0.075
      12.262886 18.962 0.155
      17.530746 19.065 0.095
     42.2978236 19.214 0.114
      8.1274784 19.003 0.097
      9.3575784 19.028 0.055
     12.2605284 19.105 0.088
     14.2749484 19.062 0.051
     54.4381836 19.087 0.062
     18.2478384 19.145  0.09
      9.2409308 19.018 0.072
     12.2242808 19.049 0.075
     16.1908908 19.003 0.085
      57.302166 18.702 0.055
      59.376206  18.62 0.045
      4.2048432 18.754 0.056
      6.2517732  18.86 0.065
      66.222546 18.904 0.069
     15.0902732 19.125 0.079
     19.0466132 18.701 0.067
      5.0716056  18.72 0.057
      7.9303356 19.021 0.083
     52.1752608 19.026 0.061
     63.1579608 18.908 0.099
       9.928888 19.049 0.085
       9.953348 18.995 0.082
     54.0184332 19.119 0.097
      0.8268004 18.521 0.066
      24.857918 18.873 0.083
     12.8156904  18.95 0.069
      4.7193128 18.762 0.072
     59.7802524 18.681 0.059
     60.7459024 18.671 0.052
     11.5030196 19.056 0.063
     25.5329696 19.022 0.097
      11.440122 18.959 0.071
      3.3347244 18.653 0.042
     49.5622096 19.121 0.085
     72.6087972 19.007 0.065
     19.3498444 18.533 0.055
      44.457512 18.815 0.055
     10.1936868 18.969 0.071
      4.1187392 18.667 0.039
      6.2303292 18.746 0.069
      7.2323892 18.872 0.083
      67.265592 19.036 0.068
     12.0010092  19.01 0.072
      72.382022 18.984 0.066
     15.1684192 19.138 0.079
      74.332602 19.006 0.052
      4.8277716 18.715 0.293
     10.1701216 19.217 0.162
     30.2501892 18.991 0.078
     12.1014716 18.994 0.073
     51.2901568 18.906 0.064
     53.0868668 19.042   0.1
     17.0571016  19.02 0.062
     57.1614368   18.7 0.055
     39.1486692 18.752 0.055
       2.869524 18.672 0.049
       8.882594 18.967 0.055
     55.0717992 19.084 0.254
      18.037794  19.07 0.114
     38.8514316 18.707 0.077
     40.8882816  18.73 0.055
      4.7531564 18.873 0.062
     63.9139892 18.963 0.074
     65.9494592 19.012 0.081
     12.8747664 19.016 0.078
     70.1295292 19.083 0.107
      33.960814 19.063 0.098
     55.0394116 19.134   0.1
      0.7010088 18.632 0.051
     21.7520864 18.507 0.063
     60.8975316 18.734 0.087
     23.8741764 18.626 0.087
      7.6345988 18.957 0.076
     10.7266088 19.014  0.09
      51.869094 19.018 0.075
      54.863624 19.076 0.058
     21.6813888 18.617 0.054
     46.7327364 18.986 0.055
     55.7226664 19.164  0.11
     21.5928812 18.526 0.041
     27.5599312 19.049 0.096
     32.5342812 19.074 0.101
       4.370466 18.463 0.061
     24.2228704 18.769 0.092
     12.1423228 19.083 0.072
     17.1370228  19.11 0.077
     21.1408628 18.482 0.041
      5.0245852 18.866 0.111
      64.330588 18.951 0.053
     29.0760628 19.092   0.1
     30.1150028 19.157 0.093
     11.1163752 19.084 0.085
     11.1348852 19.106 0.092
     12.0468152 18.975 0.209
     12.0940452 19.077 0.177
     12.1307852 18.949   0.1
     52.2018704  18.95  0.08
     52.2523904 19.181 0.108
     52.2935504 19.099 0.133
      72.278808 18.976 0.079
     53.2483104 19.092  0.07
     15.1404752 19.027 0.077
     16.0115352 19.038  0.07
     16.1017752 18.967 0.066
     16.1370552 19.063 0.083
      74.243978 19.037  0.07
     36.1431828 19.028 0.064
     17.1065852 18.987  0.06
      74.364088 18.966 0.063
     37.0791528 19.019 0.057
     56.2172204  19.02 0.058
     18.1236952 19.045 0.055
     38.0845628 18.711 0.049
     38.1432028 18.702 0.045
     19.0735952 18.678 0.043
      0.0571876 18.688 0.038
     39.0948028 18.688 0.052
     58.2338904 18.662 0.047
      1.9289676 18.711 0.046
     41.1937528 18.735 0.052
     24.0262652 18.894 0.056
     64.1398704 18.928  0.06
     11.9424476 19.123 0.085
     13.9539576  19.11 0.066
     16.0045576 18.997 0.058
     75.1924404 19.137 0.076
     38.1163452 18.634 0.049
     40.9938552 18.702 0.081
     23.0649776 18.747 0.046
     24.8865776   18.9 0.054
        6.85212 18.893 0.064
          8.821 18.982 0.063
     67.1174028 19.071 0.055
     69.1160228 19.059 0.056
     34.0216176 19.212 0.086
     57.0479052 18.433 0.049
      2.8011624 18.628 0.061
     61.0592352 18.644 0.044
      4.7412524 18.722 0.051
      5.7650324 18.789 0.052
      6.7398924 18.917 0.086
       26.99368 18.951 0.094
       27.84955 18.983 0.104
     68.9373352 18.819 0.101
     70.0327952 18.996 0.058
     14.8576924 18.972 0.081
     53.9667276 18.965 0.062
     16.8094024 19.093 0.059
       36.89238 19.009 0.067
      0.5952848 18.528  0.04
     59.8853776 18.504 0.037
      4.6279448 18.703 0.055
       47.76916 19.045 0.066
     10.6223148 18.949 0.064
       48.98655 19.055 0.101
     68.8522576 18.983  0.08
       50.83292 19.024 0.089
     33.7436224 19.152 0.071
     73.9550576 19.144 0.107
     20.6751448 18.495 0.044
     40.7129724 18.523 0.038
      2.7850772 18.465  0.07
     22.6010048 18.532 0.041
       61.87424 18.672 0.041
      5.6766872 18.723 0.079
      6.7406772 18.915 0.105
      7.5581772 18.794 0.054
     26.8501948  19.07 0.091
      8.5146272 18.908 0.059
      9.5854172 18.906 0.052
     29.6146748 19.036 0.055
     30.5993448 18.973 0.055
     13.5025672 18.957 0.047
     33.5801648 19.067 0.056
     15.5513772  19.04 0.084
     36.6427248 19.004 0.082
     56.5963724 19.038 0.057
     18.7006972 18.401 0.044
      0.4199396 18.545 0.031
      2.4900596 18.488 0.036
      3.4347396 18.503 0.044
     23.4901272 18.648 0.038
      5.5723696 18.773  0.06
     32.3256472 19.002 0.127
     32.6628472 19.112 0.091
     33.4816672 19.058 0.087
     34.4600172  19.13 0.067
     54.6112148 19.135 0.089
     54.7001548  19.06 0.071
     17.3598696 19.023  0.07
       0.418092 18.452 0.043
       3.281342 18.546 0.041
     23.4807796 18.648 0.043
     62.6278748 18.694 0.044
       6.325692 18.763 0.041
     45.4587272 18.812 0.044
     30.3731296 18.965 0.071
     69.5966248 18.958 0.073
      13.338122 18.911 0.085
      18.293472 19.119 0.072
     57.4441972 18.476 0.052
      1.2762144 18.389 0.055
      24.289982 18.756 0.072
      6.2639944 18.747 0.044
      8.1767944 18.888 0.055
     67.3625572 18.883 0.065
     11.1935044 19.032 0.061
     69.4594272 19.049 0.053
     51.2846896 18.992 0.075
     14.1070744 19.112  0.11
      40.217592 18.525 0.041
      3.1435668 18.578 0.052
      4.1478168 18.412 0.097
      7.2443568 18.856 0.108
     27.1080744 18.878 0.066
      9.1402668  18.91 0.079
     29.2866344 18.962 0.072
      49.355572 18.932 0.077
     13.1434968 18.954 0.068
     35.2120744 19.078  0.07
0.0396991999996 18.429 0.049
      3.0357892   18.5 0.057
     48.2127844 18.884  0.09
     35.0863268 19.097 0.084
     18.0401192 19.139 0.108
      2.9349516 18.478 0.049
      5.8801416 18.923 0.098
     69.1745544 19.093  0.09
     55.0875768 19.208 0.086
      6.7408984 18.868  0.05
     49.8926436 19.081  0.08
     73.9435612 19.016 0.092
      38.797876 18.732 0.053
     21.7589584 18.794 0.045
     71.8470436 19.007 0.067
     35.7494084 19.022 0.062
     18.7023208 18.735 0.068
     21.5994508 18.741 0.047
     24.6204308 18.889 0.057
      64.825476  19.16 0.091
      67.763786 18.935 0.067
     50.6332484 19.067 0.085
     40.6094008  18.63 0.041
      3.4648956 18.892 0.043
     24.6209532 18.866 0.076
      7.4604156 19.009 0.072
     10.3530056 18.976 0.058
     12.4186356 19.081 0.063
     51.7074008 19.089 0.055
     72.6244784  18.86 0.053
     74.7580984 19.009 0.063
     37.4224832 19.134 0.132
     30.4322956 18.981 0.074
      12.294258 19.075 0.081
      14.484198 18.961 0.058
      15.353328 18.969  0.06
     73.5742308 18.867  0.05
     74.5471808  19.06 0.055
     56.4404832 19.004 0.055
      19.378668 18.593 0.038
     59.5950632 18.691 0.052
      4.3185504 18.676 0.058
     62.4954332  18.73 0.045
      7.2258604 18.892 0.072
      8.2694804 18.945 0.075
     13.3429704 18.942   0.1
     54.4486356 19.081 0.068
     55.2583256 19.033  0.06
     75.3884032 19.017 0.058
      0.1275728 18.638 0.037
      1.1163428 18.565 0.042
      2.0982728 18.564 0.035
     60.4079056 18.573 0.039
      4.1856028 18.718 0.042
      5.1283928 18.789 0.053
     63.2455356 18.851 0.048
     64.2674556 18.938 0.044
     15.0721428 19.099 0.069
     17.2166728 19.112 0.082
      56.372068 18.953 0.064
      5.0374752 18.735 0.059
     46.0639804 18.878 0.079
     28.1776528 18.881  0.05
      9.9383652 19.009 0.057
     11.0715852 18.873 0.075
     31.1842728 18.914  0.07
      70.309868  19.17 0.068
     14.1484452 19.163 0.099
      73.038558 18.987 0.084
     54.2620504 18.997 0.065
     16.8790952 19.159 0.108
     17.8420752 19.079 0.068
     18.1821252 19.103 0.083
     18.8194752 18.106  0.04
     58.0174604 18.338 0.034
      1.8452876 18.449 0.035
      2.8733776 18.453 0.041
      7.7614576 18.904 0.148
     11.8385876 19.051 0.096
     12.8951476 19.038  0.08
     71.1073704 18.974 0.049
     14.8604276 19.212 0.093
     15.9225176 19.009 0.063
     35.9453152 19.069 0.055
     55.9782628  19.14 0.063
     56.9962928 18.249  0.03
     38.9523352 18.412 0.036
     20.8247976 18.393 0.033
     59.9933328 18.401 0.038
     22.8508376 18.615 0.035
         4.7653 18.749 0.044
     43.0636952  18.76 0.041
     62.1709128 18.732 0.047
     24.0294676 18.601 0.041
        5.68979 18.725 0.048
     24.7808976 18.786 0.048
     62.9633928 18.856 0.047
     24.8542576 18.755 0.041
     43.9565452 18.759 0.048
        5.81117 18.816 0.047
     44.0061652 18.787  0.04
     63.1441328 18.756 0.046
        6.77291 18.812 0.059
     25.9185776 18.873 0.067
     25.9800476 18.905 0.074
        7.73707 18.843 0.047
        7.79684 18.828 0.049
     46.9553952 18.857 0.036
     47.9240952   18.9 0.046
       10.83457  18.95 0.047
     69.9347128 19.199 0.063
     71.0507828 19.024 0.055
     58.9075052 18.548 0.041
      2.6972724 18.518 0.042
      3.6943324 18.592 0.048
      4.6982124 18.883 0.074
     44.8653976 18.748 0.069
      7.6862824 18.764 0.047
     65.9223652 18.816 0.064
     53.7593476 19.038 0.058
        37.8084  18.52 0.046
       39.69671 18.459 0.032
      3.5243748 18.754 0.054
     66.8802676 19.145 0.125
     11.5384748 19.151  0.12
       50.82012 19.031 0.107
     33.5890024 19.173 0.113
       56.74939 18.777 0.071
      1.5553572 18.501 0.041
     41.6018124 18.621 0.059
      5.5268872 18.788 0.082
        67.6699 19.108 0.099
     13.4987772 18.827 0.086
     16.4518372 19.076 0.112
        75.6758 18.989 0.087
     58.6340324 18.491 0.067
      4.4047996 18.688 0.087
     11.3778796 19.375 0.138
     74.6188824 18.975 0.102
     61.5084468 18.583 0.057
       9.306984 18.789 0.056
      15.292234 18.962 0.083
     35.3887816 19.034  0.07
      20.291204 18.547 0.054
     61.4222792 18.737 0.053
     63.4100292 18.799 0.056
      7.1867664 18.817 0.052
      8.2347364 18.807 0.049
     11.1583264 19.076 0.077
     51.2988216 18.939 0.064
     71.4218792 19.117 0.074
     53.3865716 19.127 0.061
     74.4505592 19.067 0.065
     18.2581264 19.129 0.077
     21.2163764 18.427 0.039
     60.3994916 18.617 0.048
      8.1590388 18.777 0.063
      9.1797088 18.872 0.057
     11.1257788 19.012 0.055
     12.1357888 18.916 0.048
      51.186244 19.115 0.102
     14.1440688 18.998 0.058
     15.1406488 19.022 0.068
     17.1451188 19.059 0.062
0.0717211999998 18.539 0.041
      1.0584612 18.441 0.036
      4.0587212 18.703 0.047
      5.0286412 18.732 0.039
      6.0775512 18.819 0.048
      7.0208712 18.781 0.041
     46.1779464 18.848 0.054
      9.0158712 18.824  0.06
     10.0198812  18.81 0.067
      68.259214 18.984  0.06
     12.0230412 18.902 0.063
     32.0776188 18.975 0.059
      74.230964 19.026 0.094
      75.242144 19.007 0.057
      0.9546936 18.638 0.042
      1.9680036 18.607 0.038
      2.9040236 18.615 0.044
     23.9745812 18.773 0.054
     44.0429888 18.797 0.035
     27.9560512 18.955 0.061
     68.1714164 18.875 0.068
     70.1622164 19.076 0.076
     13.9456636 19.058  0.05
     72.1204864   19.0 0.051
     53.9844888   19.0 0.064
     16.8941436 18.924 0.048
     75.0845464 19.044 0.067
     76.1141464 18.359 0.033
       0.748126  18.65 0.046
       1.813566 18.677 0.055
     21.8762836  18.54 0.054
     25.8764336 18.783 0.048
     26.9216936 18.773 0.056
       8.760976 18.959 0.049
     29.8663236 18.992  0.05
     51.9393112 18.949 0.063
     72.0231988  19.04 0.055
      15.734106  19.04 0.059
      16.775536  19.03 0.052
      0.6706084 18.556 0.037
     58.8809012  18.49 0.035
      5.5409784 18.803 0.074
      6.8071684 18.832 0.052
      26.770526 18.813 0.065
      8.7401684 18.873 0.065
     10.6853284 19.039  0.07
     14.5913284  18.85 0.092
     15.6032484 19.103 0.064
      35.696846 19.069 0.068
     74.9701112 19.119 0.063
     75.8279612 18.988 0.051
      38.683486 18.617 0.037
     58.7407536 18.537 0.043
      2.5746708 18.553 0.056
      3.5131908  18.69 0.039
      4.5176208 18.754 0.041
      7.5140608 18.907 0.041
     27.5912384 18.879 0.043
      9.5295908  18.91 0.049
     10.5123808 19.065 0.057
     68.8213036 18.995 0.059
      50.559636 19.043 0.098
     12.6068408 19.009 0.066
     13.6078208 19.041 0.065
      52.692536 19.245 0.095
     72.7203736 18.895 0.059
      54.658086 18.955 0.081
     44.6296584 18.784 0.054
      7.4122932 18.971 0.069
      64.776946 18.961 0.063
     46.5912084 18.871 0.043
      9.4194932  18.97 0.045
      67.617316 19.115 0.063
     30.5430308 18.978 0.058
     12.4188832 19.183 0.088
     31.6828708  18.98 0.084
     13.5356232 18.784 0.073
      71.623746 18.962 0.065
     54.6881184 19.081 0.054
      1.4057456 18.735 0.043
     59.5813284 18.703 0.044
     41.4993708 18.741 0.053
     26.4286332 18.867 0.055
      8.3810156 18.892 0.065
     32.4636032 18.966 0.106
     14.3418856 19.097 0.089
     53.5592608 18.957 0.063
     16.3381256 19.056  0.07
     17.3264056 19.063 0.053
     17.3380456 18.969 0.045
     74.6174784 19.053 0.054
     75.4880384 19.081 0.086
     18.2824856 18.998 0.082
     37.3987732 19.008 0.081
     37.4778432 19.117 0.109
     18.4192256  19.28 0.123
       1.142068 18.601 0.068
     39.3197832 18.665 0.052
       1.219678 18.564 0.041
     20.3156156 18.605 0.042
