        t   Imag  Ierr
--------- ------ -----
90.936362  13.55 0.006
40.097204 13.709 0.006
42.823307 13.356 0.006
 2.222376 13.389 0.006
66.824557 13.841 0.006
48.358083 13.553 0.006
11.777992 13.702 0.006
13.797822 13.351 0.006
 72.63878 13.377 0.006
 6.365575 13.603 0.006
22.638732 13.782 0.006
 81.54382 13.802 0.006
 86.62425 13.369 0.006
17.611975 13.423 0.006
19.417315 13.512 0.006
49.831499 13.674 0.006
81.258663 13.823 0.006
85.411843 13.367 0.006
74.156216 13.435 0.006
19.198168 13.502 0.006
65.829149 13.821 0.006
66.979959 13.829 0.006
54.718202 13.738 0.006
85.228496 13.357 0.006
58.626912 13.387 0.006
32.375978 13.443 0.006
20.151211 13.569 0.006
50.608665 13.746 0.006
55.514795 13.713 0.006
29.129911 13.366 0.006
59.529715 13.388 0.006
18.869884 13.486 0.006
35.091891 13.631 0.006
93.957829  13.81 0.006
10.641067 13.783 0.006
83.677042 13.745 0.006
43.086531 13.354 0.006
74.226998 13.414 0.006
51.690344 13.846 0.006
57.699564 13.365 0.006
21.041113 13.646 0.006
81.647274 13.803 0.006
20.166935  13.57 0.006
69.193613 13.745 0.006
 96.47895 13.713 0.006
92.219203 13.663 0.006
81.999076 13.744 0.006
70.839949 13.341 0.006
33.169068 13.489 0.006
56.379285 13.366 0.006
75.515242 13.476 0.006
37.934801 13.849 0.006
86.603132 13.373 0.006
93.486462 13.769 0.006
45.643004 13.414 0.006
92.274085 13.668 0.006
68.813281 13.732 0.006
 30.20267 13.391 0.006
18.900483 13.513 0.006
92.140358 13.657 0.006
24.948703 13.778 0.006
98.029858 13.752 0.006
17.811606 13.437 0.006
92.763131 13.708 0.006
22.705096 13.792 0.006
38.981383 13.801 0.006
19.673829 13.533 0.006
92.636214 13.695 0.006
 9.301282 13.844 0.006
 68.12132 13.716 0.006
84.295367 13.612 0.006
43.677956 13.377 0.006
59.872373 13.417 0.006
61.879983 13.511 0.006
49.731796 13.666 0.006
51.715316  13.84 0.006
25.258142 13.747 0.006
98.425587 13.636 0.006
57.693216 13.385 0.006
17.040805 13.422 0.006
61.763346   13.5 0.006
77.885643  13.64 0.006
37.298742 13.829 0.006
42.174832 13.388 0.006
65.379609 13.798 0.006
98.785003 13.474 0.006
47.935975  13.52 0.006
12.299974 13.745 0.006
67.631049 13.767 0.006
 9.373257  13.84 0.006
 7.879473 13.736 0.006
12.881013 13.721 0.006
 4.658386 13.485 0.006
 39.04095 13.786 0.006
  44.0912 13.384 0.006
92.709871 13.703 0.006
82.425654 13.712 0.006
86.499384 13.376 0.006
90.401164 13.515 0.006
11.111542 13.727 0.006
55.867823 13.607 0.006
32.337089  13.44 0.006
34.427249 13.578 0.006
38.293979  13.84 0.006
27.108132 13.727 0.006
71.769293 13.368 0.006
33.146302 13.488 0.006
  93.0122 13.729 0.006
24.897625 13.782 0.006
86.884193 13.379 0.006
32.026835 13.431 0.006
89.868593 13.472 0.006
64.451569 13.716 0.006
10.450531 13.808 0.006
97.767873 13.746 0.006
 0.369094 13.371 0.006
73.397629 13.396 0.006
 3.356844 13.414 0.006
33.613238 13.514 0.006
92.447196 13.675 0.006
37.701458 13.842 0.006
96.525776 13.719 0.006
70.125542 13.585 0.006
15.314854 13.374 0.006
59.920455 13.411 0.006
 4.979167 13.504 0.006
63.858735 13.652 0.006
 9.078567  13.83 0.006
53.689128 13.734 0.006
84.116832  13.68 0.006
31.271794 13.403 0.006
33.199774 13.488 0.006
77.953425 13.649 0.006
94.026842 13.802 0.006
38.381454 13.843 0.006
68.801388 13.731 0.006
57.394121 13.374 0.006
87.887325 13.402 0.006
75.739248 13.471 0.006
49.323034 13.638 0.006
94.935395 13.854 0.006
40.059547 13.718 0.006
56.215094 13.447 0.006
72.360671 13.377 0.006
16.603143 13.399 0.006
18.556813 13.466 0.006
 34.77414 13.607 0.006
79.377241 13.784 0.006
83.370761 13.752 0.006
  42.7613 13.371 0.006
30.493553 13.389 0.006
18.274966  13.45 0.006
 53.63959 13.745 0.006
 55.69526 13.688 0.006
44.485963 13.388 0.006
75.020597 13.438 0.006
77.952597 13.657 0.006
81.930097 13.763 0.006
84.007167 13.712 0.006
15.911762 13.384 0.006
18.875152 13.476 0.006
67.427773 13.807 0.006
13.651535 13.414 0.006
73.477313 13.396 0.006
19.663075 13.533 0.006
51.064259 13.791 0.006
69.253226 13.756 0.006
30.599705 13.397 0.006
84.201976 13.654 0.006
26.133101 13.741 0.006
95.321084 13.855 0.006
 84.88398 13.362 0.006
 6.577628  13.62 0.006
15.605478  13.37 0.006
14.382811 13.376 0.006
78.213309 13.679 0.006
82.257059 13.723 0.006
73.906502 13.413 0.006
96.070369 13.776 0.006
29.075234 13.377 0.006
  2.64949 13.404 0.006
48.344601 13.556 0.006
93.850012 13.815 0.006
95.885352 13.802 0.006
83.671615 13.759 0.006
50.079474 13.702 0.006
 24.59107 13.829 0.006
42.839467 13.375 0.006
 3.163396 13.423 0.006
21.474243 13.696 0.006
82.367231  13.72 0.006
13.324186 13.577 0.006
 8.931009 13.827 0.006
27.190266 13.713 0.006
88.117124 13.406 0.006
91.149304 13.565 0.006
 9.781952 13.847 0.006
59.433163 13.412 0.006
22.710972 13.785 0.006
60.120816 13.424 0.006
35.778722 13.689 0.006
67.213526 13.825 0.006
26.458635 13.761 0.006
15.324258 13.376 0.006
90.369693  13.52 0.006
66.855829 13.855 0.006
18.981941 13.489 0.006
26.990211 13.736 0.006
61.395655 13.481 0.006
38.953671 13.813 0.006
61.170678 13.468 0.006
28.492577  13.37 0.006
  19.2725 13.515 0.006
78.902111 13.746 0.006
14.804747 13.372 0.006
75.374808 13.469 0.006
 7.139056 13.673 0.006
89.178441 13.443 0.006
 51.51009 13.826 0.006
70.715077 13.356 0.006
18.823309 13.486 0.006
95.970334 13.785 0.006
14.602122 13.371 0.006
 3.470395 13.431 0.006
 77.46298  13.62 0.006
